product_id,date,product_category_name,unit_price,qty,revenue,comp_1,comp_2,comp_3,price_ratio,price_position,elasticity,cluster
bed1,2017-05-01,bed_bath_table,45.95,1,45.95,89.9,215.0,45.95,0.3929029499786234,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2017-06-01,bed_bath_table,45.95,3,137.85000000000002,89.9,209.0,45.95,0.3997390169638974,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2017-07-01,bed_bath_table,45.95,6,275.70000000000005,89.9,205.0,45.95,0.4044301012175444,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2017-08-01,bed_bath_table,45.95,4,183.8,89.9,199.5098039,45.95,0.41105105142864734,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2017-09-01,bed_bath_table,45.95,2,91.9,89.9,163.3987097,45.95,0.4606536153094732,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2017-10-01,bed_bath_table,45.95,3,137.85000000000002,89.9,45.95,45.95,0.7582508250825083,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2017-11-01,bed_bath_table,40.53181818,11,445.84999998,89.9,40.53181818,40.53181818,0.711235775799452,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2017-12-01,bed_bath_table,39.99,6,239.94,88.48823529,39.99,39.99,0.7121223760282436,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2018-01-01,bed_bath_table,39.99,19,759.8100000000001,86.9,39.99,39.99,0.7188998082454457,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2018-02-01,bed_bath_table,39.99,18,719.82,86.9,39.99,39.99,0.7188998082454457,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2018-03-01,bed_bath_table,39.99,17,679.83,86.9,39.99,39.99,0.7188998082454457,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2018-04-01,bed_bath_table,39.99,13,519.87,85.045,39.99,39.99,0.7269807604908347,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2018-05-01,bed_bath_table,39.99,19,759.8100000000001,83.64961538,39.99,39.99,0.733180235872287,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2018-06-01,bed_bath_table,39.99,5,199.95000000000002,79.9,39.99,39.99,0.7503752814610957,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2018-07-01,bed_bath_table,39.99,8,319.92,77.93333333,39.99,39.99,0.7597205218212463,Cheaper,-8.335163579945776,Cluster_Volume
bed1,2018-08-01,bed_bath_table,39.24,8,313.92,74.0,39.24,39.24,0.7720356768100733,Cheaper,-8.335163579945776,Cluster_Volume
bed2,2017-02-01,bed_bath_table,89.9,2,179.8,89.9,89.9,89.9,0.9999999999999999,Equal,0.0,Cluster_Margin
bed2,2017-03-01,bed_bath_table,89.9,22,1977.8000000000002,89.9,89.9,89.9,0.9999999999999999,Equal,0.0,Cluster_Margin
bed2,2017-04-01,bed_bath_table,89.9,34,3056.6000000000004,89.9,89.9,89.9,0.9999999999999999,Equal,0.0,Cluster_Margin
bed2,2017-05-01,bed_bath_table,89.9,58,5214.200000000001,89.9,215.0,45.95,0.768704574604532,Cheaper,0.0,Cluster_Margin
bed2,2017-06-01,bed_bath_table,89.9,51,4584.900000000001,89.9,209.0,45.95,0.7820791648542846,Cheaper,0.0,Cluster_Margin
